id,department_id,code,name,credits,level
1,1,CSCI-130,American Literature,4,undergraduate
2,1,CSCI-219,General Biology I,3,undergraduate
3,1,CSCI-305,Technical Writing,3,undergraduate
4,1,CSCI-445,Data Structures and Algorithms,3,undergraduate
5,1,CSCI-540,US History Since 1865,3,undergraduate
6,1,CSCI-643,Human Resource Management,3,undergraduate
7,2,BUSA-145,Statistics for Business,3,undergraduate
8,2,BUSA-207,Research Methods,3,undergraduate
9,2,BUSA-324,Financial Accounting,3,undergraduate
10,2,BUSA-406,Organic Chemistry,3,undergraduate
11,3,ENGL-120,Ethics in Technology,3,undergraduate
12,3,ENGL-202,Environmental Science,3,undergraduate
13,3,ENGL-330,Managerial Accounting,3,undergraduate
14,3,ENGL-428,Statistics for Business,3,undergraduate
15,4,MATH-105,Calculus I,3,undergraduate
16,4,MATH-222,Human Resource Management,3,undergraduate
17,4,MATH-336,Operating Systems,3,undergraduate
18,4,MATH-448,General Psychology,4,undergraduate
19,4,MATH-507,Microeconomics,3,undergraduate
20,5,PSYC-143,Abnormal Psychology,3,undergraduate
21,5,PSYC-213,Discrete Mathematics,3,undergraduate
22,5,PSYC-325,Database Systems,3,undergraduate
23,5,PSYC-431,World History to 1500,3,undergraduate
24,5,PSYC-539,American Literature,4,undergraduate
25,5,PSYC-609,Statistics for Business,3,undergraduate
26,6,EDUC-122,Public Speaking,3,undergraduate
27,6,EDUC-248,Capstone Project,3,undergraduate
28,6,EDUC-314,Linear Algebra,4,undergraduate
29,6,EDUC-433,Business Law,3,undergraduate
30,6,EDUC-524,Operating Systems,3,undergraduate
31,6,EDUC-633,Database Systems,3,undergraduate
32,7,BIOL-149,Introduction to Education,4,undergraduate
33,7,BIOL-203,Calculus I,3,undergraduate
34,7,BIOL-326,Technical Writing,3,undergraduate
35,7,BIOL-445,Calculus II,3,undergraduate
36,8,HIST-142,Macroeconomics,3,undergraduate
37,8,HIST-239,Calculus I,3,undergraduate
38,8,HIST-312,General Psychology,3,undergraduate
39,8,HIST-433,Abnormal Psychology,3,undergraduate
