id,student_id,course_id,semester_id,grade,grade_points
1,1,38,1,B,3.0
2,1,37,1,C,2.0
3,1,21,1,C+,2.3
4,2,32,1,A-,3.7
5,2,23,1,C,2.0
6,2,27,1,B,3.0
7,4,39,1,A,4.0
8,4,35,1,B,3.0
9,4,24,1,A,4.0
10,4,34,1,C+,2.3
11,4,6,1,C+,2.3
12,6,7,1,B,3.0
13,6,5,1,B,3.0
14,6,35,1,A,4.0
15,9,8,1,A-,3.7
16,9,23,1,A,4.0
17,9,9,1,C-,1.7
18,9,21,1,C,2.0
19,9,3,1,A,4.0
20,11,30,1,A,4.0
21,11,25,1,B,3.0
22,11,27,1,W,0.0
23,14,17,1,C+,2.3
24,14,1,1,C,2.0
25,14,37,1,B,3.0
26,14,24,1,C,2.0
27,19,29,1,A,4.0
28,19,8,1,A-,3.7
29,21,13,1,A-,3.7
30,21,24,1,A-,3.7
31,21,16,1,B,3.0
32,22,13,1,W,0.0
33,22,6,1,A-,3.7
34,22,9,1,A-,3.7
35,22,35,1,B,3.0
36,24,18,1,B,3.0
37,24,2,1,B,3.0
38,24,13,1,B+,3.3
39,26,13,1,B,3.0
40,26,17,1,D,1.0
41,26,38,1,D,1.0
42,29,24,1,B+,3.3
43,29,6,1,B+,3.3
44,29,3,1,A-,3.7
45,29,35,1,C-,1.7
46,29,8,1,B+,3.3
47,30,26,1,A,4.0
48,30,35,1,A,4.0
49,30,39,1,C+,2.3
50,30,37,1,D,1.0
51,30,25,1,B+,3.3
52,31,35,1,A,4.0
53,31,28,1,C+,2.3
54,31,4,1,C,2.0
55,31,20,1,C+,2.3
56,34,29,1,A,4.0
57,34,8,1,A,4.0
58,34,27,1,B-,2.7
59,34,12,1,C,2.0
60,34,14,1,A-,3.7
61,36,37,1,A-,3.7
62,36,1,1,B,3.0
63,36,9,1,C-,1.7
64,37,25,1,A,4.0
65,37,28,1,B,3.0
66,37,24,1,C-,1.7
67,37,33,1,B,3.0
68,38,13,1,A-,3.7
69,38,8,1,C+,2.3
70,38,25,1,A,4.0
71,38,18,1,A,4.0
72,39,39,1,A,4.0
73,39,35,1,B,3.0
74,39,18,1,B,3.0
75,44,26,1,A,4.0
76,44,11,1,B+,3.3
77,44,6,1,A,4.0
78,44,19,1,B,3.0
79,44,7,1,B+,3.3
80,45,17,1,B,3.0
81,45,31,1,C+,2.3
82,45,11,1,A-,3.7
83,45,25,1,B-,2.7
84,49,22,1,B-,2.7
85,49,26,1,B-,2.7
86,49,25,1,A,4.0
87,49,3,1,B+,3.3
88,54,32,1,A-,3.7
89,54,20,1,A,4.0
90,54,30,1,A-,3.7
91,54,7,1,C,2.0
92,54,12,1,C-,1.7
93,55,37,1,B+,3.3
94,55,22,1,A-,3.7
95,55,12,1,B,3.0
96,55,18,1,B-,2.7
97,55,38,1,A-,3.7
98,56,21,1,D,1.0
99,56,28,1,B-,2.7
100,56,25,1,B,3.0
101,56,11,1,B-,2.7
102,57,35,1,B+,3.3
103,57,14,1,C,2.0
104,57,12,1,A,4.0
105,60,3,1,B+,3.3
106,60,21,1,A-,3.7
107,60,9,1,C+,2.3
108,61,29,1,B+,3.3
109,61,37,1,B-,2.7
110,61,1,1,A,4.0
111,61,24,1,A-,3.7
112,64,39,1,B+,3.3
113,64,13,1,C-,1.7
114,64,20,1,B+,3.3
115,64,30,1,B+,3.3
116,64,21,1,C+,2.3
117,66,15,1,B-,2.7
118,66,7,1,A,4.0
119,66,13,1,A,4.0
120,66,31,1,A-,3.7
121,67,7,1,A-,3.7
122,67,16,1,A-,3.7
123,67,36,1,A,4.0
124,67,4,1,B+,3.3
125,68,33,1,A,4.0
126,68,26,1,B-,2.7
127,68,31,1,D,1.0
128,68,35,1,A,4.0
129,72,7,1,B,3.0
130,72,8,1,A-,3.7
131,72,39,1,B,3.0
132,75,7,1,B-,2.7
133,75,10,1,A,4.0
134,76,26,1,F,0.0
135,76,21,1,B-,2.7
136,76,6,1,A,4.0
137,76,25,1,C+,2.3
138,76,22,1,A,4.0
139,77,14,1,D,1.0
140,77,5,1,A,4.0
141,77,15,1,A,4.0
142,77,18,1,C,2.0
143,79,39,1,C,2.0
144,79,6,1,B-,2.7
145,79,7,1,D,1.0
146,79,22,1,B-,2.7
147,80,14,1,B,3.0
148,80,17,1,B,3.0
149,80,31,1,B+,3.3
150,80,39,1,A-,3.7
151,85,2,1,B+,3.3
152,85,4,1,C,2.0
153,85,38,1,B-,2.7
154,87,21,1,C,2.0
155,87,27,1,A,4.0
156,87,39,1,A,4.0
157,87,25,1,C+,2.3
158,87,34,1,C+,2.3
159,88,33,1,F,0.0
160,88,12,1,C,2.0
161,88,3,1,B,3.0
162,88,11,1,C,2.0
163,90,33,1,B+,3.3
164,90,36,1,B,3.0
165,90,5,1,C,2.0
166,91,1,1,B-,2.7
167,91,4,1,A,4.0
168,91,11,1,B-,2.7
169,93,29,1,B,3.0
170,93,12,1,B+,3.3
171,93,36,1,A,4.0
172,94,11,1,C,2.0
173,94,28,1,B,3.0
174,94,24,1,C+,2.3
175,94,7,1,C,2.0
176,94,27,1,B-,2.7
177,98,24,1,B+,3.3
178,98,28,1,D,1.0
179,98,3,1,A,4.0
180,98,23,1,B,3.0
181,101,39,1,B+,3.3
182,101,24,1,A,4.0
183,101,19,1,B+,3.3
184,102,37,1,A,4.0
185,102,13,1,C,2.0
186,103,11,1,C,2.0
187,103,35,1,C,2.0
188,103,25,1,B,3.0
189,103,2,1,A,4.0
190,105,3,1,W,0.0
191,105,15,1,B,3.0
192,105,17,1,A,4.0
193,105,23,1,A,4.0
194,105,22,1,C+,2.3
195,110,37,1,B-,2.7
196,110,7,1,A,4.0
197,110,2,1,B+,3.3
198,110,4,1,A,4.0
199,110,16,1,B-,2.7
200,111,28,1,C-,1.7
201,111,3,1,C,2.0
202,111,37,1,B,3.0
203,113,29,1,A,4.0
204,113,37,1,A,4.0
205,113,18,1,C,2.0
206,113,4,1,B-,2.7
207,116,29,1,B-,2.7
208,116,37,1,A,4.0
209,116,2,1,B-,2.7
210,116,3,1,A-,3.7
211,116,38,1,C-,1.7
212,118,35,1,B+,3.3
213,118,17,1,C+,2.3
214,118,9,1,B+,3.3
215,121,6,1,B,3.0
216,121,1,1,B-,2.7
217,121,38,1,B+,3.3
218,121,13,1,C+,2.3
219,121,7,1,B-,2.7
220,125,7,1,B-,2.7
221,125,22,1,A,4.0
222,125,17,1,C,2.0
223,126,21,1,A,4.0
224,126,5,1,C+,2.3
225,126,2,1,W,0.0
226,126,33,1,A,4.0
227,127,20,1,B,3.0
228,127,30,1,C,2.0
229,127,23,1,A,4.0
230,128,20,1,B,3.0
231,128,24,1,A,4.0
232,128,34,1,A-,3.7
233,129,16,1,C-,1.7
234,129,17,1,C,2.0
235,129,10,1,A-,3.7
236,130,30,1,A,4.0
237,130,33,1,B-,2.7
238,130,23,1,A-,3.7
239,130,10,1,A,4.0
240,131,12,1,B+,3.3
241,131,28,1,B+,3.3
242,131,11,1,A,4.0
243,131,16,1,B+,3.3
244,132,13,1,B+,3.3
245,132,17,1,B,3.0
246,132,4,1,C,2.0
247,132,25,1,A,4.0
248,133,8,1,A,4.0
249,133,34,1,C,2.0
250,133,24,1,A,4.0
251,133,12,1,C-,1.7
252,136,30,1,A,4.0
253,136,26,1,A,4.0
254,136,5,1,A,4.0
255,136,39,1,B,3.0
256,138,25,1,B+,3.3
257,138,27,1,B+,3.3
258,138,14,1,A,4.0
259,138,38,1,F,0.0
260,138,18,1,A-,3.7
261,141,28,1,B-,2.7
262,141,2,1,B-,2.7
263,141,24,1,A-,3.7
264,141,36,1,F,0.0
265,145,16,1,C+,2.3
266,145,28,1,B,3.0
267,145,35,1,A,4.0
268,145,7,1,A,4.0
269,145,37,1,A,4.0
270,146,33,1,B+,3.3
271,146,28,1,A,4.0
272,146,12,1,F,0.0
273,148,26,1,B-,2.7
274,148,1,1,A,4.0
275,148,34,1,C-,1.7
276,148,38,1,B+,3.3
277,148,11,1,B+,3.3
278,151,2,1,A,4.0
279,151,27,1,B+,3.3
280,151,25,1,A,4.0
281,151,12,1,C,2.0
282,152,35,1,B,3.0
283,152,17,1,A,4.0
284,152,9,1,A,4.0
285,152,36,1,B+,3.3
286,152,27,1,B-,2.7
287,153,7,1,A,4.0
288,153,10,1,B,3.0
289,153,29,1,B,3.0
290,153,30,1,A-,3.7
291,153,9,1,A,4.0
292,154,31,1,B,3.0
293,154,7,1,A,4.0
294,154,38,1,D,1.0
295,154,3,1,B,3.0
296,157,23,1,C,2.0
297,157,11,1,A,4.0
298,157,33,1,C+,2.3
299,157,28,1,B+,3.3
300,161,14,1,C+,2.3
301,161,3,1,A,4.0
302,161,2,1,A,4.0
303,161,13,1,B,3.0
304,161,15,1,B+,3.3
305,164,38,1,B+,3.3
306,164,34,1,B,3.0
307,164,19,1,C-,1.7
308,167,9,1,C-,1.7
309,167,14,1,C-,1.7
310,167,24,1,A,4.0
311,167,29,1,C,2.0
312,167,12,1,A,4.0
313,171,19,1,B-,2.7
314,171,3,1,B,3.0
315,171,26,1,B,3.0
316,171,30,1,C+,2.3
